Description,Title
"After using about 15 days, I feel this phone is very good for its battery,  RAM and general performance.  Battery comes for more than a  day even after using heavily. No lagging in  performance. One star less for its speakers as they are slightly low compared to others.READ MORE",Very good mobile from Samsung
Handling is so easyREAD MORE,Just too good
"Hi friends I just brought the product 2 months before and it is performed very perfectly.Camera,& phone looks are fabulous but only one weak point is the speakers sounds is very poor quality.The product is not value for money.But I marke the full rate to flipcart.READ MORE",Best in the market!
"The product recieved with box damaged , inspite of return request nothing turned in my favour .The executive asked me to open the box and restart the phone. The device heated too much.The NFC of the device is damaging other NFC devices . The other devices work fine with mobiles having NFC. SO the problem is only with this model .It is disgusting why such products with NFC  are sold . Technician visits and finds the issue yet Flipkart rejects the request what a pathetic service by Flipkart.READ MORE",Waste of money!
good battery backup & crisp display & no hang & heating issue.READ MORE,&awesome&
This Phone is awesome..Must BuyREAD MORE,Must Buy
Really very super to use good product in good conditionREAD MORE,Samsung j5 2016 edition
Thanks to Flipkart who deliver it me with in 5 days Good Phone With Metal Body And Best front Camera With FlashBest for night Selfie I Take more than 30 pic in night mode with front flash good smartphone  gold color is also superebbest ever smartphone under 15k by samsungGood BatteryGood Camera Front with Flash and Rear Also SuperbREAD MORE,Best Smartphone by Samsung
"Hi,I got this phone from Flipkart on Friday and here is my 3 days review.Pros: * Beautiful design * Very handy, easy to handle * Battery backup is great * Back camera is good * No heating issues Cons: * If we are charging, it will not show any light or any notification whether it is charging or not. We need to on the screen and check whether it is charging or not. So every time we need to turn it on and see whether it is charging or not.* Camera issue: Once you take the picture a...READ MORE",Good looking phone with some drawbacks
"Having smart phone for the first time. This J5 2016 really looks like a premium model. Super soft touch. Awesome sound quality when downloading music app from samsung galaxy apps.For best music effect:settings---> sound quality and effects ----> enable soundAlive+ and Tube Ampthen, open music app  more ---> soundAlive ---> Equaliser ---> custom and select bass in details.READ MORE",Good Looking Phone
"You can flaunt this stylish phone & make ur friends feel jealous!!After 3 months of using I have found following pros & consPros:1. Stylish & Premium looks, solid build & long lasting premium looking metal sides, dependable quality & brand name justifies its price, easy single hand operation.2. Best part of the phone is its sAmoled display. Color reproduction is definitely superb & lifelike (much better than MI,Lenovo,Moto,Panasonic), sunlight readability is excellent.3. Performance is g...READ MORE",Decent Phone with Premium Looks(review after using 3 months)
nice product..till now no problems occured.READ MORE,Brilliant
Nice.battery backup it's goodREAD MORE,It's very good
J5 6 is one of the best in its class.... i have not seen phone with such so many features... extremly satisfied ..READ MORE,One of the best phone i have ever seen...
"This is value for money product. I am using this phone last one week and the processing speed very good, camra quality is very excellent and sound goodREAD MORE",Brilliant
"After 10 days of use, I've experienced hanging problems and slow response of some apps. Hope it'll be alright after some more use.READ MORE",Excellent
Good in this range.READ MORE,Good phone
Very very good quality phone. Good camera ....overall very good.....delivery system better....thanks Flipkart....READ MORE,Excellent
"I already had J5 (2015 edition), So when I decided to change my device, I browsed many handsets, & finally I chose J5 (2016 edition).READ MORE",Perfect product!
Super quality and set for this price..READ MORE,Amazing...
Nice mobile. Ringing volume is low. But otherwise mobile is good...READ MORE,Nice mobile
Nice productREAD MORE,Superb mobile
"Works really good,  doesnt get hang if multiple applications are open.READ MORE",Very impressive phone
Samsung and flipkart both are number one in qualityREAD MORE,Great product
Phone is too good.... i bought it 17 days ago.. nd ya i would like to say... i am full satisfied with the phoneREAD MORE,Awesome service nd phone
Good experienceREAD MORE,good one
It is a good phoneREAD MORE,Good phone
shipped before the given date all features are superb....READ MORE,best camera
SAMSUNG GALAXY J5(2016) The things from this phone is 1. Marshmellow v6.0 2. Front flash with 5mb camera not so good  3. Its design  4. Primary Camera is not so good with 13mb led flash  5. Battery life is worst in 3100mah only getting 2000mah power  6. Its size is correct in its design 7. Supports OTG  9...READ MORE,By Expert     -Vaishnav VJ
Started heating up from the first hour itself. Fone speed is good . Camera and touch is good. But heats up quickly than the normal. Thinking of returning it.READ MORE,Heats up when used for Apps using Data
All things are good but two main concern that i realized is the below1. heating problem is very high2. hangGood thing:1. battery backup2. Design3. cameraREAD MORE,DESIGN IS VERY GOOD BUT PHONE IS HEATING
Heating problemREAD MORE,Could be way better
"Updated Review on 02-August after 3 months of usage:What I liked most:Look : 100/100 - Very good looking phone. Gold color and the finishing is super coolSize : 100/100 - 5.2 Inch is neither big nor small. I can still operate with one hand.. Battery : 100/100 - 3100 mAH is outstanding. 3G is always ON when i am out of home and Wi-Fi is always ON in home. I am charging mobile only once in every 36 hours. I use Whatsapp, instagram and Browsing mostly. Display : 90/100 - Not so bright and s...READ MORE",Absolute Stunner and Impressive
First of all thank you flipkart for great opportunity for a talented phone sell in site superb phone first time heating issues than automatically resolved.This phone is value for money.All is well..............READ MORE,Just wow!
I have purchased That phone of Rs11990 about one month ago now it's exchange  value only rs4400...???Phone  is overheating.READ MORE,Above-average product
nice to use ...easy charge........good updated to....nice speed....cool......not much heated ...good to buy......READ MORE,nice product but over expected
Samsung is back with J series in this Range of smartphones. Truly speaking its a Beautiful Amoled Screen phone woth awesome Colors and looks. No matter it lacks few specs. But i dnt care abt thoseREAD MORE,beautiful samsung
